,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
326,johnd27830142,Married. 2 great kids. Buyer. Drinker. Tennis golf Pickleball n swimming. Beach & book.,,0,0,18,2,368,"“You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related” Sen. Sch… https://t.co/jZBTZmav0B",[],2020-07-29 23:59:58,en
330,madameshawshank,"a part of It All - 
swimming in the Haiku Ocean - 
an iced chocolate svp - 
shook Neil Armstrong's hand - 
sand buckets at the ready",The Blue Marble,0,0,3293,2872,130041,Trump and U.S. COVID-19 Cases: A Timeline | NowThis https://t.co/GKk6CO7Ono via @YouTube,[],2020-07-29 23:59:58,en
331,MclovinMcAsian,Jap-Scot/Army brat Just because it confirms your bias doesn’t make it true. Common sense should rule us all. Live and let live. Center Righteous,Libville MA,0,0,2859,2733,32327,"THREAD: We organized a group of practicing physicians, many of whom have personally treated COVID-19 patients, and… https://t.co/7K3pvFAEYC",[],2020-07-29 23:59:58,en
332,AcharyaBharath,"A proud Hindu.  
|| Garv se kaho, hum HINDU hain... ||
Tree, Animal, Environment lover ||
RTs not endorsements...",Akhand Bharatiya,0,0,312,268,128888,"Karnataka drops Tipu Sultan, Hyder Ali, Prophet Muhammad and Jesus Christ from school syllabus due to Coronavirus
https://t.co/3Qyu3vaOaS",[],2020-07-29 23:59:58,en
333,OscKodam,"“Be Happy for this moment, this moment is your Life”",ምድር ገፅ ,0,0,894,76,10925,"🤣@realDonaldTrump is whining about his approval rating being in the toilet.

After selling out our country to… https://t.co/W6dTJnzFZh",['Russia'],2020-07-29 23:59:58,en
334,brirobm9294,,,0,0,972,79,5590,School closures that swept several US states from March to May might have led to a million fewer Covid-19 cases and… https://t.co/X7LY0IgcnI,[],2020-07-29 23:59:58,en
335,whatever2020s,"Harm none, do as you will. 

*  Proud Biden Supporter

*Make society better with living wages, healthcare & education for all

*Inclusive Design in all things",,0,0,116,35,2899,My heart goes out to Jessica and the countless others across the nation who have lost a loved one due to COVID-19.… https://t.co/hLP7Hh28D4,[],2020-07-29 23:59:58,en
339,endoody13,"Love sci fi, dancing, cats, music, horses, owls, dragons. 50+ years happily teaching. Mom of 2, Grammy of 4. Going broke buying my meds. 4-yr HS dropout. PhD.","Las Vegas, NV",0,0,247,453,79981,"Several states including Ohio, Tennessee, Kentucky and Indiana need to get the virus under control or risk watching… https://t.co/A2KyqYXYNL",[],2020-07-29 23:59:58,en
342,TellAFact,"CO-CREATOR
Artist. Love. Peace. Higher Consciousness. Chakras. AUM. London. JOIN GAB!",London,0,0,192,206,6849,"THREAD: We organized a group of practicing physicians, many of whom have personally treated COVID-19 patients, and… https://t.co/7K3pvFAEYC",[],2020-07-29 23:59:58,en
343,CZaRnBranDAD001,,"California, USA",0,0,465,22,341,"Exclusive: Buddy, first dog to test positive for COVID-19 in the U.S., has died https://t.co/8HcFpC06ea via @NatGeo",[],2020-07-29 23:59:57,en
348,ColleenLavelle1,Wakka Wakka Woman. Indigenous Cancer is different. We need to change the system to help patients aboriginalcancer@gmail.com,QLD,0,0,5114,4728,99643,Live: Palaszczuk to give coronavirus update after yesterday's three cases https://t.co/iEy8QHn1Me,[],2020-07-29 23:59:57,en
351,MedaBrunda,,Planet Earth,0,0,104,113,40720,Republican official resigns after Facebook post connects mask mandate to Nazi Germany https://t.co/XTVJjQtfNa,[],2020-07-29 23:59:57,en
352,mila_bowen,"Wife, Mother, Retired US Soldier, Believer in TRUE Facts, and pro-humanity",,0,0,1879,621,76194,"Breaking: Florida state Senator @Rob_Bradley tells @Fla_Pol he has tested positive for #coronavirus. 

He’s the fir… https://t.co/LAc0vKEsCK",['coronavirus'],2020-07-29 23:59:57,en
354,TweetsofCooper,I listen to people who aren't like me and talk to people who are. Juwan Howard stan account,"St Louis, MO",0,0,970,5072,185789,"Missouri tagged as federal COVID-19 'red zone,' breaks daily case record for 10th time in July | Coronavirus |… https://t.co/QvSt8bfA8i",[],2020-07-29 23:59:57,en
357,CherokeeNative3,"Retired Paralegal standing in solidarity w/ACLU, BLM, LGBT, PPF &TheResistance! B/c of treasonous espionage, we have a malignant narcissist in WH. #ImpeachTrump",92058,0,0,4068,6621,589973,"🤣@realDonaldTrump is whining about his approval rating being in the toilet.

After selling out our country to… https://t.co/W6dTJnzFZh",['Russia'],2020-07-29 23:59:57,en
359,StephanieCFoxJD,"Author-Editor. Website: https://www.queenbeeedit.com/. Topics: overpopulation, ecosystems collapse, honeybee colony collapse, Asperger's, economic meltdown.",Connecticut - U.S.A.,0,0,3262,3372,125969,A State-By-State Guide to Traveling Within the U.S. https://t.co/x6JA3r8Rrd via @CNTraveler,[],2020-07-29 23:59:57,en
360,ScrewNepotism,"Here for Sushant Singh Rajput, Sanatan Dharma, PM Modi and President Trump. Back up account @singhsindhu4",United States,0,1,867,3271,8636,@SrBachchan why don’t you say this to Bollywood Mafia? https://t.co/3ECssU5X6X,[],2020-07-29 23:59:57,en
361,Camisetaloca,"Welcome to your favorite online store, where you can buy beautiful Hoodies, T-shirts, Mugs and other personalized items from the comfort of your home.",Texas - USA,0,1,872,182,12789,Check out UNA CORONA PARA EL MEJOR PAPA  T-SHIRT -  FUNNY GIFT FOR FATHER DAY #GildanG200Unisex… https://t.co/8fBBuzxZJa,['GildanG200Unisex'],2020-07-29 23:59:57,en
364,melodyisdestiny,"Live Music, Politics, Comedy & Tech. California Liberal, Adoptee. Love my husband & girls ❤️ 🎶 #Demcast #Indivisible",Nor CA,0,0,11985,12232,322641,"Spoke with Rep Ben McAdams, who was in the hospital because of COVID-19, about Rep Gohmert 

""A lot of people are r… https://t.co/JNEmfYB0bU",[],2020-07-29 23:59:57,en
365,GregorioEats,"* The views expressed in my Tweets are my own & don't necessarily reflect the views of the Company. * Family, Food, & Justice","Boogie Down Bronx, NY",0,0,789,1523,134476,We rlly have ppl out here questioning Joe Biden’s “mental fitness” when over the past month Donald Trump suggested… https://t.co/1EaReUJRQx,[],2020-07-29 23:59:57,en
366,RaptorMcSerna,🏳️‍🌈🐄♐🧙‍♀️🍎♀️,"Beaverton, OR",0,0,370,26,215,"2,977 people died on 9/11. So far 152,000+ people have died from Covid-19 in the US. That’s as if 9/11 happened eve… https://t.co/SS3nW2uKjR",[],2020-07-29 23:59:57,en
367,whitemistmjk,,,0,0,383,129,62576,"Five months ago today, the United States reported its first coronavirus death.

Later that day, @VP told… https://t.co/6KO2iWJiS6",[],2020-07-29 23:59:57,en
368,SpazianiG,"Comercio Internacional,hablo español, italiano, poco ingles y portugués.",Venezuela,0,0,2550,2525,170360,"Several states including Ohio, Tennessee, Kentucky and Indiana need to get the virus under control or risk watching… https://t.co/iyhN9EUcmI",[],2020-07-29 23:59:57,en
369,beingray,proud resister! native Texan - Former Facebook junkie - tiptoed over here to Twitter and got born again. Pure madness. Help!,"Houston, TX",0,0,4944,1826,44272,The logic that leads Louie Gohmert to blame the mask for infecting him with COVID-19 is the same logic that would l… https://t.co/PTbT5qmobL,[],2020-07-29 23:59:57,en
370,cooldogsandcats,Business Consultant / Volunteer,"Chambersburg, Pa 17201",0,0,4940,1640,136321,"US coronavirus: Nation could see deaths in the 'multiple hundreds of thousands,' group says https://t.co/UtnfiwslJR",[],2020-07-29 23:59:57,en
372,lilpatti2009,"Capital of the U.S, We Are",Twitterland ❤,0,0,418,969,285840,2020 has been nothing but coronavirus and divorce.,[],2020-07-29 23:59:57,en
373,benbaca2015,,,0,0,4925,179,181915,"CNN: More than 150,000 people have died in the United States from the coronavirus, according to the latest data com… https://t.co/NU02YVVjJY",[],2020-07-29 23:59:57,en
374,SahClah1,making life happen,"Adelaide, Australia",0,0,363,191,26207,Ash Barty pulls out of US Open over COVID-19 fears https://t.co/mIYX9RcvP3,[],2020-07-29 23:59:56,en
376,caroljdavy,The real voyage of discovery consists not in seeking new lands but seeing with new eyes.#MarcelProust RT=Interesting,"Los Angeles, CA",0,0,3195,1606,477412,The logic that leads Louie Gohmert to blame the mask for infecting him with COVID-19 is the same logic that would l… https://t.co/PTbT5qmobL,[],2020-07-29 23:59:56,en
380,ampile2,,COLOMBIA,0,0,480,115,5545,#OYW Ambassador and General Coordinator of @coalicionve @JCViloriaD is on the team that published “Recommendations… https://t.co/xDIHnwo8yT,['OYW'],2020-07-29 23:59:56,en
383,bruinlover09,"UCLA, NEU & UIUC  Politics randomness, life, love, and laughs. No Fucks 2021 & Beyond #KHive and #Beyhive",in the libraries of Wakanda,0,0,1624,484,141925,"ARTHUR PERKINS SR., 85, of Denham Springs, Louisiana, died of COVID-19 on July 20th. 

He served for decades as a C… https://t.co/YbDFQ2o6kg",[],2020-07-29 23:59:56,en
384,CeaJanet,May have been the losing side. Still not convinced it was the wrong one. RESIST,"Hillsboro, OR",0,0,2689,1420,335837,"CNN: More than 150,000 people have died in the United States from the coronavirus, according to the latest data com… https://t.co/NU02YVVjJY",[],2020-07-29 23:59:56,en
385,Bikingisfun2,America works best when we say Union - Hell YES!,"Topeka, KS",0,0,252,677,87694,"WAY TO GO A-HOLES
https://t.co/EizkhruJ0Q",[],2020-07-29 23:59:56,en
386,bladegodsyg,Broken Alchemic Reactor. I play games. I makes games. I hate politics but someone's gotta post it. Red Lantern Corp applicant.,1407 Graymalkin Lane,0,0,918,306,90066,House Speaker Nancy Pelosi is requiring that masks be worn on the floor of the U.S. House. Rep. Louie Gohmert has t… https://t.co/SF6h70zcFv,[],2020-07-29 23:59:56,en
388,IndicaRadz,Book nerd. Nature Evangelist. Animal lover. Coffee advocate. Proud Hindu Rajput. Current location - somewhere between motherhood and nirvana!,"Johnson City, TN",0,0,182,12,560,Coronavirus conspiracy theories. Hoaxes. Anti-mask myths. Sham cures. Experts worry a torrent of bad information is… https://t.co/5LIIE5kFQS,[],2020-07-29 23:59:56,en
389,seraf2229,Music Food Movies Fun Entertainment,"Ottawa, Ontario",0,0,169,26,4704,"What I am asking for is straightforward: Masks for All.
https://t.co/ft26QCRne0",[],2020-07-29 23:59:56,en
393,SptsGuy1,"★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★MIAMI DOLPHINS ★ SINGING 
★ STAR TREK ★ MYSTERIES AND SCIFI ★ WESTERNS ★ HUMOR
EMAIL: tgilli52@gmail.com","Rural Hall, NC",0,0,2235,2361,94887,"#virus JULY links to CORONAVIRUS #pandemic #coronavirus #COVID__19 #COVID19
https://t.co/rGVfFwhA8d","['virus', 'pandemic', 'coronavirus', 'COVID__19', 'COVID19']",2020-07-29 23:59:56,en
394,kellyldurrant,"SRH expert, External Relations Director for MSI Australia & Twitter novice @MSI_Australia @MSIChoices #SRHR She/Her. Tweets my own.","Melbourne, Australia (Naarm)",0,0,152,77,146,"Twenty-six Victorians under the age of 40 are currently in hospital with coronavirus.

Five are in intensive care.… https://t.co/c546Jt8vPA",[],2020-07-29 23:59:56,en
395,MeghanShreve,"Mom to M & H, Wifey to @bshreve34, eater of all pizza and doughnuts, and most awkward person ever. Education & Communications @InterHab. Tweets are my own. ❄️","Lawrence, KS",0,0,2284,1081,13434,"A state law taking effect Friday will restrict the ability of government agencies to engage in contact tracing, a c… https://t.co/eHG1dpfRXD",[],2020-07-29 23:59:56,en
397,TheeKweenK,𝙼𝚞𝚟𝚊|#𝙵𝙰𝙼𝚄|𝙲𝚛𝚎𝚊𝚝𝚒𝚟𝚎|𝙷𝚎𝚛𝚋𝚊𝚕 & 𝙰𝚜𝚝𝚛𝚘 𝚂𝚊𝚟𝚊𝚗𝚝 •𝚂𝚘𝚞𝚕 𝚘𝚟𝚎𝚛 𝙴𝚐𝚘• 𝚂𝚊𝚐 ☀️ | 𝚂𝚌𝚘𝚛𝚙 🌙|𝚃𝚊𝚞𝚛𝚞𝚜⬆️,"Atlanta, GA",0,0,4072,4219,89814,Remember someone tweeted to watch what big companies do for corona to determine when it’s safe to go back to work o… https://t.co/IcsWFoexuM,[],2020-07-29 23:59:55,en
399,BRussel39434804,"Blue Texan who voted against Cruz,Abbott, Cornyn and Patrick, cat fanatic,, doting Grammie, no DM’s please.NEVER FORGET, NEVER FORGIVE. GOP sucks.","Austin, TX",0,0,1893,1583,92075,The coronavirus does not care that we are divided. The coronavirus will not care if Washington Democrats decide it… https://t.co/Vr93EAsZI9,[],2020-07-29 23:59:55,en
