,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
45,RealHunterLaw21,Congregationalist. Minarchist Republican.,"Florida, USA",0,0,279,43,1968,"Donald Trump (@realDonaldTrump)

Best: Deregulation, most notably ending Net Neutrality. (Bonus: Being in Home Alon… https://t.co/eIU041tfkZ",[],2020-07-21 23:59:58,en
46,Sophiemacmac,"Chitter-chatter, chitter-chatter, chitter-chatter",,0,0,1825,960,56537,"Our daily update is published. States reported 63k new cases, about the same number as last Tuesday. They also reco… https://t.co/Skn5uVdroB",[],2020-07-21 23:59:57,en
47,troutish,Secretary of Climate Justice Union (@ClimateUnionWA) | Organiser | Unionist | Husband | Hip Hop MC @Selekt_Few,Noongar Boodjar,0,0,5002,3075,183840,The total number of aged care homes residents infected with coronavirus is 3.5 times higher today than it was at th… https://t.co/rVFEffb5yW,[],2020-07-21 23:59:57,en
48,ndungca,"Investigative reporter @WashingtonPost. @AAJA SVP. Former @GlobeSpotlight @Oregonian, forever Californian 🇵🇭 nicole.dungca@washpost.com, Signal: 202-770-7829","Washington, DC",0,0,3319,8881,12772,"This is alarming. 

Of 48 Filipinos Americans known to have been infected with COVID-19 in Southern California, 19… https://t.co/F65DmTT5E5",[],2020-07-21 23:59:57,en
49,DennisJ41783202,,,0,0,901,250,71479,"BREAKING: Nancy Pelosi just called Coronavirus the “Trump Virus.”

Raise your hand if you agree it is the “Trump Virus.”",[],2020-07-21 23:59:57,en
50,mariaminpeace,"Rise like lions, or a phoenix? #GTTO",,1,0,2431,1219,73095,Curious headline when the poll used in the article indicates that *twice* as many people in the #US say they wear m… https://t.co/0pl2TJZZP7,['US'],2020-07-21 23:59:57,en
51,rubensteinkev,Uncle & Friend | School Leader | EdD @LoyolaChicago. @IllinoisStateU Alum | #IAASE Past-President | @casecec Policy Team  | Tweets are my own,Chicagoland,0,0,2921,3455,12422,The team from Minnesota just completed a virtual meeting with @RepTomEmmer. Great conversations about mental health… https://t.co/gaC4GI5IUk,[],2020-07-21 23:59:57,en
52,TimesBritain,"A news portal covering topics like tech reviews, lifestyle, business, fashion, gaming, cars and others. 
📧 Send your stories: editor@timesofbritain.com",United Kingdom,0,0,122,26,34217,Dr. Anthony Fauci says he wasn’t invited to Tuesday’s White House coronavirus briefing https://t.co/A0dWVCdM3h,[],2020-07-21 23:59:57,en
53,cutmasterchris,"Husband, Father, Coach, DJ, Snowboarder, Web Developer, Teacher, Awesome...",Burque,0,0,521,158,1135,Corona &amp; Chill DJ Mix | MOTOWN THROWDOWN https://t.co/UaXyH0LJGp,[],2020-07-21 23:59:57,en
54,HS120,"Husband, Father, Grandfather and proud Republican.",,0,0,1093,137,13332,"Trump’s press conference today on #coronavirus was masterful. By the end, the normally hostile journalists credited… https://t.co/GZVrnjeEST",['coronavirus'],2020-07-21 23:59:57,en
55,rafaelalarcon,I am a passionate and creative hospitality professional with over 15 years of experience in culinary enterprises in four different cultures.,"Calgary, AB",0,0,2023,386,91187,"BREAKING: Nancy Pelosi just called Coronavirus the “Trump Virus.”

Raise your hand if you agree it is the “Trump Virus.”",[],2020-07-21 23:59:57,en
59,corey_vollinger,"Aspiring libertarian writer and pamphleteer, lover of piano, chess, scotch, austrian economics, and peace","Alexandria, VA",0,0,1597,360,3916,Watching with disbelief as @ABC’s @DAVIDMUIR claims that #CORONAVIRUS cases may be up to 10x higher in the US than… https://t.co/gRy9ZZJ4lq,['CORONAVIRUS'],2020-07-21 23:59:57,en
60,vicrailnews,Covering Railway News and Issues in Melbourne and across Victoria,"Melbourne, Victoria",0,0,156,204,5278,Valvegear edited a post in The corona virus COVID-19 https://t.co/PXekRCrhjP #Myki #Springst #trains,"['Myki', 'Springst', 'trains']",2020-07-21 23:59:57,en
62,Jreed1178,May God be with us,United States,0,0,180,5096,73948,"Dozens of New York nursing homes didn’t see their first COVID-19 case until sick patients were sent there, many und… https://t.co/OuywBB730X",[],2020-07-21 23:59:57,en
64,marciasgreen,"Stock Market, Legal, Political, Lifestyle and Personal News.","New Mexico, USA",0,0,5000,3775,288970,HHS spokesman on decision to order hospitals to bypass CDC and send patient info to a new gov database is Michael C… https://t.co/5gJXXfnDiy,[],2020-07-21 23:59:57,en
67,AnitaBu1963,Never lose hope. #Strongertogether #Resistance #Voteblue2020 #Justdoit #Blacklivesmatter #climatecrisis #Kamala2020,"Chalmers, IN",0,0,6391,6199,27521,"More than 300,000 immigrants may not become citizens in time to vote as COVID-19 stalls process https://t.co/MtGPln6UHs #SmartNews",['SmartNews'],2020-07-21 23:59:57,en
68,mike_N_ike0,Army Vet - 4 for 4 Philly sports - Michael Scott enthusiast,,0,0,791,117,5151,"Dr. Fauci Says This One State 'Correctly' Curbed Coronavirus

“New York successfully thwarted the virus..” 

If you… https://t.co/CjCzMN6rU2",[],2020-07-21 23:59:57,en
70,nacas_p,#DOGS  💕 😘🐶😘🐕 💕,In  the lake  🏝,1,1,4737,4743,25925,"Also leaving this  👍🏼  😇  

#COVIDIDIOTS 
#tuesdayvibes 
#Corona https://t.co/IRF82ZKgYS https://t.co/T4jtXGSzde","['COVIDIDIOTS', 'tuesdayvibes', 'Corona']",2020-07-21 23:59:57,en
71,Redcountessa,"Green Socialist, gardener, animal lover, reader, cook & really beyond cross with this government Retweets don't nec signify agreement/ endorsement.  #BDS.",Devon,0,0,12083,13503,138632,"I've just heard that Israeli forces have demolished the Covid-19 testing centre under construction in Hebron.

The… https://t.co/pSzj5hNjJ6",[],2020-07-21 23:59:57,en
72,annethologybyme,"a data analyst for some telco, who loves books, travel, live theatre, the Toronto Raptors, and sometimes the Edmonton Oilers.","Edmonton, AB, Canada",0,0,740,821,87327,Alberta has more active COVID-19 cases today than any point in this outbreak other than the big April-May spike dri… https://t.co/hYrm3qlOHw,[],2020-07-21 23:59:56,en
78,walterhewlettjr,Election stolen by democrats with the help of Twitter and Facebook and big tech.,"New Hampshire, USA",0,0,10,663,36583,"We now know that 99.96 percent of Coronavirus fatalities are among adults.

This and other important data are helpi… https://t.co/sLAwQHZnZc",[],2020-07-21 23:59:56,en
79,peano66,,,0,0,849,86,55347,"NEW: @KBeds responds to Donald Trump's press conference: 

""President Trump’s preposterous claim tonight that he ha… https://t.co/sfpjdwBbA6",[],2020-07-21 23:59:56,en
80,sweeney_gareth,"UN Director @Crisis_Action. Views my own, RT ≠ endorsement.",New York,0,0,939,629,1005,Concerning news out of #Syria as #COVID-19 cases continue to rise. This at a time when the #UNSC voted to cut cross… https://t.co/IaE77IrAEx,"['Syria', 'COVID', 'UNSC']",2020-07-21 23:59:56,en
81,LittleRed623,Equality for All. LGTB. Ann Richards admirer. Be the Change you want to see in the World. #Resistance #IndivisibleDFW #ACTIndivisible   Cardinal Fan,,0,0,9809,9231,356020,Nancy Pelosi repeatedly refers to the coronavirus as “the Trump virus” https://t.co/uUNJmXa6xX,[],2020-07-21 23:59:56,en
83,Myla944,"My lovely daughter, Luana Marina, R.I.P. 
DO NOT Add Me for a date, to send you money, or give you my personal info. So NOT happening!!!","Caldwell, Texas",0,0,4242,3176,59550,One U.K. trial is transforming COVID-19 treatment. Why haven’t others delivered more results? https://t.co/lRUmfgoKQH,[],2020-07-21 23:59:56,en
84,skateintraffic,Just another human being trying to make sense of the world,Pittsburgh,0,0,976,408,32749,"In the midst of all the madness our nurses still aren’t being taken care of.

So today @NationalNurses placed 162 p… https://t.co/2qsBtiIvZI",[],2020-07-21 23:59:56,en
91,Regi3,Resist Benedict Donald,Wilmington NC,0,0,4343,2628,44053,"@MontyBoa99 @AmbJohnBolton @Liz_Cheney Estimated deficit for 2020....
$3.8 Trillion.

I know a lot of it's from cov… https://t.co/yGLvNJJZmQ",[],2020-07-21 23:59:56,en
92,Mikhail507,Disciplined Investor. Realtor. Sports Enthusiast. Motivation is what gets you started. Habit is what keeps you going. (Retweets do not imply endorsement.),I'm on a boat.,0,0,303,382,63250,"#BREAKING 95 NFL players test positive for coronavirus, union says - up from 72 on July 10
https://t.co/aR8vvEE8A0",['BREAKING'],2020-07-21 23:59:56,en
94,ehive,eHive hosted collection management system. Professionally manage and showcase your collections. Tweets usually from Paul Rowe or Charles Tongue.,New Zealand,0,0,1509,775,9666,"Why are Turner's fishermen dressed as Greeks? The great British art quiz.
Hastings Museum set today’s quiz, which e… https://t.co/6RVihN893t",[],2020-07-21 23:59:56,en
97,batshittery1,Fed up with the GQP. They are despicable! #Resist #Persist 🌊,Earth,0,0,17196,16667,13817,Reports Show Texas Underreported COVID-19 Cases Among Babies Less Than 1 Year Old. Governor is Hiding The Truth.… https://t.co/HBqBN9VzX0,[],2020-07-21 23:59:56,en
98,ezshabot,"Periodista, @NoticiasMVS Dinero y Poder y Línea Directa en @CanalOnceTV, RepúblicaMX en @ADN40, @elheraldo_mx",,0,0,715,67911,65900,"BREAKING: The United States reports over a thousand new coronavirus deaths, the most since early June.",[],2020-07-21 23:59:56,en
99,Vydon_com,"Patriot! Believer in God, the Son, the Constitution and Fishing!","Texas, USA",0,0,390,37,748,"@BeeDotMartin @Ron_Nirenberg Half of CDC Coronavirus Test Kits Are Inaccurate, Study Finds.
https://t.co/WKrCyAyzAn",[],2020-07-21 23:59:55,en
106,Sharonflashjord,,,0,0,42,2,76,"@realDonaldTrump So sorry you lost your brother.
please take time to reflect on everyone who lost a family member o… https://t.co/jEdOQ609RE",[],2020-08-21 23:59:59,en
107,TheScientistLLC,"Exploring Life, Inspiring Innovation. Subscribe for free at http://bit.ly/2GvXtYv",,4,4,393,72466,43477,"When a patient is suffering respiratory failure, such as can occur with COVID-19, breathing oxygen-enriched air may… https://t.co/YtCQdU0BuI",[],2020-08-21 23:59:59,en
108,LyndsayFarlow,"I support exposing lies, scams, corruption & injustice and promoting causes which are beneficial to humanity. Our future depends on it. Knowledge is power!",31°25'S  152°25'E,0,0,2130,4589,447259,An aged care worker from the commonwealth's last-minute surge workforce gets tested for Covid-19 then goes to work… https://t.co/iZpPTxdS3N,[],2020-08-21 23:59:59,en
109,wpbf_todd,"Dad to 4. Multi-Emmy winning News Anchor Baltimore/NYC/DC/PITT/W. Palm Beach. As dad to a quartet, I know my opinions mean zilch. Go Bills!","Palm Beach, FL",0,0,6014,3658,6231,Florida Atlantic University suspends football practices after positive tests for COVID-19 Owls opened fall practice… https://t.co/lL1GvE3DG9,[],2020-08-21 23:59:59,en
111,Mikesw1234,"Film geek, gamer, political junkie & military history buff. #BringTheTroopsHome #YemenCantWait #FreePalestine #MedicareForAll #GreenNewDeal #FreeAssange","Connecticut, USA",0,0,640,433,54105,#Venezuela | Over $300 million in seized Venezuelan public funds will be channeled to pay National Assembly politic… https://t.co/45Ez3A8pAx,['Venezuela'],2020-08-21 23:59:59,en
112,LegworkPRM,"Improve office efficiency, boost patient experience & grow your #dental practice with cloud-based solutions. That’s Happiness Delivered!","Wenatchee, WA",0,0,838,227,1396,"""The process of searching through all those closed dental practices was rough, and filling out the paperwork was ju… https://t.co/gVJuHKU5cK",[],2020-08-21 23:59:59,en
113,sonya001,Christian. Extremely Conservative. Republican. I'm a TEXAN living in Cali. And I LOVE THE DALLAS COWBOYS SOOOO MUCH!,"Imperial Beach, CA",0,0,763,346,8501,"@MikeLeslieWFAA @wfaa @wfaasports No one has mask on! 😱 

Seriously, are they playing without mask?  How are they t… https://t.co/G2PfLVvaqI",[],2020-08-21 23:59:59,en
117,Beverly79943415,"Mother. Single and happy
And i am not automated 
Blood runs thru my veins","Washington, DC",6,1,4990,4300,22386,I BELIEVE DONALD TRUMPS' BROTHER DIED FROM THE CORONAVIRUS BUT WILL NEVER EVER ADMIT IT.😇RIP,[],2020-08-21 23:59:59,en
119,kickeye,Kick in the Eye is a translation of satori. It means sudden enlightenment. We make music and videos.,"British Columbia, Canada",0,0,201,139,5067,"The symbolism here is astounding. The whole thing screams Coronavirus. 

Just wondering how a setting of ultimate p… https://t.co/gc5xdla45E",[],2020-08-21 23:59:58,en
120,SabaShah_Khan,"Journalist, media consultant, mom. 
 RTs are not endorsements.","Washington, DC",0,0,847,882,11961,"Muslims in India's Jammu and Kashmir territory felt a ""feeling of togetherness"" after attending Friday prayers for… https://t.co/fLlcHc20jE",[],2020-08-21 23:59:58,en
123,mollymist2008,"Mother of one and Grandmother of two.

#MAGA #CONSERVATIVE #PATRIOT",,0,0,3291,2303,124722,"The cure for COVID-19 has always been worse than the disease.

What we have done to our communities in response to… https://t.co/3TkO2vClkd",[],2020-08-21 23:59:58,en
127,MWhite0523,"""In the middle of every difficulty lies opportunity"" - Albert Einstein","Tampa Bay, Fl ",0,0,408,150,8387,"Watch enrollment plummet. MT NJ school mandates temperature armbands for students, staff; parents responsible for c… https://t.co/BfswtH9lPB",[],2020-08-21 23:59:57,en
129,senormet17,KAG,"New York, USA",0,0,3385,405,33731,"Biden: “I would shut the country down...if scientists recommended it.”

This is not leadership, this is abdication.… https://t.co/RZKC7wyVQT",[],2020-08-21 23:59:57,en
130,NicoleFCarr,Investigative Reporter @wsbtv. Wife. Mommy. Army Brat. Emmy Award-Winning.#NABJ #IRE #WSSU #Syracuse #AKA. E-mail news tips to nicole.carr@wsbtv.com,Atlanta,0,0,4828,19532,69441,"Georgia is closing in on a very sad milestone as the state nears 5,000 confirmed coronavirus deaths… https://t.co/9NyOrDKr8v",[],2020-08-21 23:59:57,en
134,debgaret68,,,0,0,37,154,28505,"""As many as 215,000 more people than usual died in the U.S. during the first seven months of 2020, suggesting that… https://t.co/AZjSBkL7Z1",[],2020-08-21 23:59:57,en
136,TerryTerse,"Retired Gov't Industry Advisor

Advocating: #HealthcareForAll  #TaxTheRich  #BLM  #PoliceReform  #LivingWage #ImpeachAndConvictTrump #TrumpCrimeFamilyForPrison",🇨🇦,0,0,16396,16248,54603,"Devastating COVID-19 outbreaks at California's prisons have kneecapped the availability of incarcerated fire crews,… https://t.co/kIRKcXGdrC",[],2020-08-21 23:59:56,en
137,mollyfud,"Husband,Father. Former Principal Support Engineer4Progress Software. Opinions&positions 
expressed Rmy own&dont necessarily reflect those I work for.","Melbourne, Australia",0,0,2636,2165,100744,"#Covid19VicData for August 22, 2020. 
There have been 182 new cases of #coronavirus (#COVID19) detected in Victoria… https://t.co/JPfkVMwQaD","['Covid19VicData', 'coronavirus', 'COVID19']",2020-08-21 23:59:56,en
139,Ghostedlady,#Resistor NO DM retired worked over 50 years. Spent last few yrs as a caregiver. #BidenHarris2020 🌊🌊✨🍀🙏,United States,0,0,5003,3910,25323,"ABC's Muir: ""If you're sworn in come January and we have coronavirus and the flu combining ... would you be prepare… https://t.co/lUkZErCZEn",[],2020-08-21 23:59:56,en
141,WebberDon1,Humanist. My tweets are my own. I'm always outnumbered but never outgunned. #thefutureisnow, Jamaica,1,0,105,135,2744,@JamaicaGleaner Mishandling of COVID 19 by @AndrewHolnessJM and his team caused this.,[],2020-08-21 23:59:56,en
142,aceofspade907,,,0,0,350,13,1337,"America’s Coronavirus response compared to China, Italy, and France. 

The internet. Undefeated... https://t.co/xUx6ZtFk5A",[],2020-08-21 23:59:56,en
143,drcbsteer,"Border Medical Oncology 
Albury Wodonga Regional Cancer Centre @AWRCCentre 
PCPA President https://t.co/2mXPhXIVCJ 
SIOG, ASCO, COSA, MOGA, MASCC, IGCS, UNSW  #gerionc",Albury Wodonga,0,0,3289,3237,40799,"Unfortunately we learned today that one of our College members, like many other Victorian health workers, has teste… https://t.co/HHqXpUaEbM",[],2020-08-21 23:59:56,en
144,DENNISRBROOKS1,JULY 4 1946,,1,0,3825,986,92095,Fact Check: Obama Misleads on Coronavirus Getting ‘Worse‘ in U.S. https://t.co/xTnYHXvhBs via @BreitbartNews,[],2020-08-21 23:59:56,en
145,LoblollyPines,"Farm life in north Florida. MAGA through and through! 🇺🇲Trump 2020!! Love my country! LSU Alum. Geaux Tigers!
Love my country and President!",Florida,0,0,4379,4093,80025,"The Average Death rate in the United States is 78... The Average Death of the Coronavirus... Also 78.. 

You're being played...",[],2020-08-21 23:59:56,en
148,ThomasDillhunt,"Professional pursuits include Personal Wealth Mgmt., Invest. Analysis & Tech. Services. I enjoy traveling, reading & spending time with my friends and family.","Minnesota, USA",0,0,73,142,19125,"I stand with all of the people and families in New York and across America taking part in the #MarchForTheDead.

Mo… https://t.co/9I33fedC3X",['MarchForTheDead'],2020-08-21 23:59:56,en
149,spamerooni,Rebel scum.,,0,0,80,19,3100,"""As many as 215,000 more people than usual died in the U.S. during the first seven months of 2020, suggesting that… https://t.co/AZjSBkL7Z1",[],2020-08-21 23:59:56,en
151,Wednsdayschild,Just an ordinary person with opinions. And sometimes I feel compelled to voice those opinions. That's all. Former gov’t employee. #BlackLivesMatter #BidenHarris,,0,0,1022,657,41471,"A reader asked me to distinguish the 3 books of the Proof series. Each deals with more topics than listed here, but… https://t.co/1WJp66KoQ9",[],2020-08-21 23:59:56,en
153,mnieves33,"Constructora de sueños y de imposibles, generadora de ganas para luchar y escribir, mamá y mujer",,0,0,1773,518,158674,"Ah, Fridays...

The heavy police presence santiaguinos had become accustomed to is back after a long coronavirus la… https://t.co/CYK8NytL9k",[],2020-08-21 23:59:56,en
156,ocoa82,Latino,USA,0,0,5004,2107,32942,"“I would shut it down. I would listen to the scientists.”

Joe Biden tells @DavidMuir in an exclusive interview tha… https://t.co/whJsFKiGoL",[],2020-08-21 23:59:56,en
157,TheHourNews,Serving Norwalk for 144 years.,"Norwalk, CT",0,0,1193,12128,115845,‘Still a risk’: COVID outbreak at CT nursing home renews concerns https://t.co/GffPrciTSq,[],2020-08-21 23:59:56,en
158,slamup,"🇯🇲🇬🇾 on Aboriginal land. Poet. Books: Foreign Soil, The Hate Race, Carrying The World, The Patchwork Bike, When We Say Black Lives Matter etc. I joke🤷🏾‍♀️","Melbourne, Victoria",0,0,1857,25653,29839,"@slamup The limited research, and talking to lots of people all year is that the push to “negotiate with your landl… https://t.co/68xALe9Qtp",[],2020-08-21 23:59:56,en
159,dlvolk1,,"North Carolina, USA",1,0,1802,660,31558,"@NC_Governor Gov. Cooper, your ad promoting mask wearing says we should not live in fear.

But fear is what drives… https://t.co/mMWpyhs4h1",[],2020-08-21 23:59:56,en
160,DanielleBloeme,"#Environment  #Resistance  #RemoveTrump  #TooFarLeft   #ClimateAction  #EarthIsOurHome  #Peace  #WorldCooperation  #UnityNotHate 
#WeAreInThisTogether  #Illini",Illini Nation,0,0,1265,1622,99428,"@realDonaldTrump U.S COVID-19 
Cases: 5,795,297  (25.2% Over 1/4 World Cases!)
Deaths: 179,153  (22.3% of World Dea… https://t.co/NsHArHpVPR",[],2020-08-21 23:59:55,en
163,Mikeybudo,The Manchurian Candidate + Idiocracy = Homeland - Social Psychology and Social Anthropology - sunshine rain fresh air and waves - I miss my 🐈,U S A,0,0,1248,365,32931,"Less than two weeks after return to classes, #coronavirus cases reported at 41 schools in Berlin, by @kugrieshaber… https://t.co/XPgfmMuJsp",['coronavirus'],2020-08-21 23:59:55,en
165,peter_g_miller,"Prof. Peter Miller studies alcohol & violence, passionate about understanding/preventing violence, and minimising waste on our planet. On WaddaWarrung land.","Geelong, Victoria",0,0,1277,1263,2890,"Qld Health Minister Steven Miles to Peter Dutton on his repeated Qld border criticism: ‘Peter Dutton has one job, b… https://t.co/jQm7YJ6XL1",[],2020-08-21 23:59:55,en
166,RMFreedom,#GetRidOfTheFilibuster #MoscowMitch #NoQevinMcQarthy #NeedAccountability #NoSedition #NoInsurrection,"New York, NY",0,0,5633,5635,35002,"As North Dakota hits record high COVID numbers, the state health director resigns... again. Two people in that posi… https://t.co/LsW7i2ZyCu",[],2020-08-21 23:59:55,en
168,BuffFan42,,Los Angeles,0,0,3525,256,36399,"“I would shut it down. I would listen to the scientists.”

Joe Biden tells @DavidMuir in an exclusive interview tha… https://t.co/whJsFKiGoL",[],2020-08-21 23:59:55,en
169,Sandeep4547,,,1,1,37,58,4523,"@DoPTGoI Sir , we understand that it's corona which is delaying the process. But u can't blame the corona only beca… https://t.co/8bTN1zjxAi",[],2020-08-21 23:59:55,en
170,mpendaraha18,global trekka,Global ,0,0,386,1764,566749,Coronavirus: Historic Bratislava counts cost of closed borders https://t.co/ecG1WtFpUl,[],2020-08-21 23:59:55,en
172,MellowMimii,Don’t fuck with me. ♈️,Some where you’re not. ,0,0,1422,1523,19238,“These hoes got aids yall talm bout corona.” 😂😂😂😂,[],2020-08-21 23:59:54,en
173,LSU,The official Twitter account of Louisiana State University. #ForeverLSU http://instagram.com/lsu | http://snapchat.com/add/lsu | http://tiktok.com/@lsu,"Baton Rouge, Louisiana, U.S.A.",33,3,938,331937,26027,"🗣️ First Day of Class COVID-19 Safety Reminders and Preparation 

Students, faculty and staff, please read: https://t.co/I27WZlAAfE",[],2020-08-21 23:59:54,en
174,StarForceHQ1,"Kamala Harris for VP. if you don’t like it, keep your opinions to yourself. My standard answer for Trump? “It’s time for a new Amendment.”",Space,0,0,2155,1189,19035,A 6-year-old girl is now the youngest person to die of COVID-19 in Florida https://t.co/51QFUi5Seb via @CBSNews,[],2020-08-21 23:59:54,en
181,pixie53957035,immortal imaginary creature,beyond the veil,0,0,1221,316,12964,So we wont see any more bile about deficit and debt thrown at State Labor or past Labor Treasurers by the Liberal P… https://t.co/Yw2eqQMD11,[],2020-08-21 23:59:54,en
183,tszbooks,"Teacher. Writer. Book lover. Sci-fi and fantasy nerd. If it's quirky and strange, I'll probably like it.",,0,0,543,115,2421,@realsarahpolley https://t.co/5mQcrkePqp,[],2020-08-21 23:59:54,en
186,SAMforbluegree1,"Liberal animal/earth lover believes democracy Advocate for morality, ethics, and equality. Be an example of the CHANGE you seek. ❤️ don’t hate",,0,0,1429,768,7678,"Delta, union in talks to avoid furloughs after 1,806 pilots take early retirement https://t.co/oH17A2t6wr https://t.co/6RuZBaavUS",[],2020-08-21 23:59:53,en
193,RobinKay9901,,,0,0,196,40,22,Coronavirus updates: Another  school n omk@m k in Georgia amid rising  cases bring bin on. 🇬🇧  https://t.co/NaeUOMRVpu,[],2020-08-21 23:59:53,en
